stuID,schID,gender,pre_region,trans_stu,transe_pa,transe_re,transe_re_etc,pre_frendship_1,pre_frendship_2,pre_frendship_3,pre_frendship_4,pre_frendship_5,post_frendship_1,post_frendship_2,post_frendship_3,post_frendship_4,post_frendship_5,post_frendship_6,satisfac_stu_1,satisfac_stu_2,satisfac_stu_3,satisfac_stu_4,satisfac_stu_5,satisfac_pa_safety_1,satisfac_pa_safety_2,satisfac_pa_safety_3,satisfac_pa_safety_4,satisfac_pa_safety_5,satisfac_pa_safety_6,satisfac_pa_edu_1,satisfac_pa_edu_2,satisfac_pa_edu_3,satisfac_pa_edu_4,satisfac_pa_edu_5,satisfac_pa_edu_6,satisfac_pa_edu_7,satisfac_pa_edu_8,enthu_pa_1,enthu_pa_2,enthu_pa_3,enthu_pa_4,enthu_pa_5,tutoring_hakwon,tutoring_private,tutoring_online,SES,prefer_Hsch_dum_1,prefer_Hsch_dum_2,prefer_Hsch_dum_3,prefer_Hsch_dum_4,prefer_Hsch_dum_5,prefer_Hsch_dum_6,prefer_Hsch_dum_7,prefer_Hsch_dum_8,prefer_Hsch_dum_9,prefer_Hsch_dum_10,academic_abil,multicultur_per
1106,#N/A,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1107,4710,2,1,2,2,#N/A,#N/A,-1,-1,-1,-1,-1,5,5,1,4,1,3,-1,-1,-1,-1,-1,4,3,3,3,3,3,4,4,4,2,3,4,3,3,4,4,4,4,4,7,-5,9,600,0,1,0,0,0,0,0,0,0,0,198.3333333,3.813559322
1108,4608,1,1,2,2,#N/A,#N/A,4,4,5,4,3,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,3,2,3,3,3,3,4,3,4,3,3,3,3,3,3,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,133.6666667,1.423487544
1109,4614,1,1,2,2,#N/A,#N/A,4,4,4,4,3,4,4,3,4,5,4,2,1,2,3,4,3,4,3,4,3,4,3,3,3,3,4,2,3,3,4,4,4,4,4,14,0,0,800,0,0,1,0,0,0,0,0,0,0,272.6666667,2.236421725
1110,#N/A,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1111,4614,1,1,2,2,#N/A,#N/A,4,4,4,4,5,4,4,3,4,4,5,4,4,3,4,5,4,4,5,4,4,4,3,3,3,3,4,3,4,3,4,4,4,4,2,0,0,0,530,0,0,0,1,0,0,0,0,0,0,268.3333333,2.236421725
1112,4614,1,1,2,2,#N/A,#N/A,4,4,4,4,4,5,5,5,5,5,5,4,4,4,5,5,4,3,2,3,3,3,3,3,3,3,3,3,3,3,2,4,4,3,2,-5,22,-5,600,1,0,0,0,0,0,0,0,0,0,194,2.236421725
1113,#N/A,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1114,4614,1,1,2,2,#N/A,#N/A,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,-1,3,2,4,4,4,4,4,3,4,-5,-3,-5,300,0,0,0,0,0,0,0,1,0,0,217.3333333,2.236421725
1115,#N/A,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
